NAME_3,timeseries
Constitution Hills,"[{nd=0.20229665021123672, time=2020-01-01T00:00:00}, {nd=0.17251932686972632, time=2020-02-01T00:00:00}, {nd=0.15171387963810395, time=2020-03-01T00:00:00}]"
Matalahib,"[{nd=0.17205326950316516, time=2020-01-01T00:00:00}, {nd=0.15046311360624803, time=2020-02-01T00:00:00}, {nd=0.21443762613200848, time=2020-03-01T00:00:00}]"
N.S. Amoranto,"[{nd=0.19624969350730187, time=2020-01-01T00:00:00}, {nd=0.16674700348620305, time=2020-02-01T00:00:00}, {nd=0.16562926651593407, time=2020-03-01T00:00:00}]"
Alicia,"[{nd=0.19980408785543832, time=2020-01-01T00:00:00}, {nd=0.17005007057658061, time=2020-02-01T00:00:00}, {time=2020-03-01T00:00:00}]"
Amihan,"[{nd=0.15287102266428623, time=2020-01-01T00:00:00}, {nd=0.1429282799468198, time=2020-02-01T00:00:00}, {nd=0.09191706055883224, time=2020-03-01T00:00:00}]"
Apolonio Samson,"[{nd=0.18821811095560653, time=2020-01-01T00:00:00}, {nd=0.1510778905014959, time=2020-02-01T00:00:00}, {nd=0.1655890964621418, time=2020-03-01T00:00:00}]"
Aurora,"[{nd=0.3198758708689908, time=2020-01-01T00:00:00}, {nd=0.15014181400765772, time=2020-02-01T00:00:00}, {nd=0.18492178010173604, time=2020-03-01T00:00:00}]"
Baesa,"[{nd=0.1448666892521902, time=2020-01-01T00:00:00}, {nd=0.14054153375802592, time=2020-02-01T00:00:00}, {nd=0.18683157002278186, time=2020-03-01T00:00:00}]"
Bagbag,"[{nd=0.19657589964798297, time=2020-01-01T00:00:00}, {nd=0.15596678132485006, time=2020-02-01T00:00:00}, {nd=0.1455523957447095, time=2020-03-01T00:00:00}]"
Bagong Lipunan Ng Crame,"[{nd=0.1147848972930971, time=2020-01-01T00:00:00}, {nd=0.18238963327240357, time=2020-02-01T00:00:00}, {nd=0.18931432664508419, time=2020-03-01T00:00:00}]"
Bagong Pag-Asa,"[{nd=0.10495137859114646, time=2020-01-01T00:00:00}, {nd=0.1507485220278381, time=2020-02-01T00:00:00}, {nd=0.3279923970867809, time=2020-03-01T00:00:00}]"
Bagong Silangan,"[{nd=0.2311868406744807, time=2020-01-01T00:00:00}, {nd=0.18964563065800746, time=2020-02-01T00:00:00}, {nd=0.25801153000753957, time=2020-03-01T00:00:00}]"
Bagumbayan,"[{nd=0.16619148597006125, time=2020-01-01T00:00:00}, {nd=0.15594982188371176, time=2020-02-01T00:00:00}, {nd=0.1805894482204914, time=2020-03-01T00:00:00}]"
Bagumbuhay,"[{nd=0.1849136831747546, time=2020-01-01T00:00:00}, {nd=0.14563126776136676, time=2020-02-01T00:00:00}, {nd=0.0798009576164047, time=2020-03-01T00:00:00}]"
Bahay Toro,"[{nd=0.2217279437879593, time=2020-01-01T00:00:00}, {nd=0.14666141890314308, time=2020-02-01T00:00:00}, {nd=0.18230735685473223, time=2020-03-01T00:00:00}]"
Balingasa,"[{nd=0.21353443483512083, time=2020-01-01T00:00:00}, {nd=0.15773815619786344, time=2020-02-01T00:00:00}, {nd=0.14906273763833916, time=2020-03-01T00:00:00}]"
Balong Bato,"[{nd=0.1860293362264943, time=2020-01-01T00:00:00}, {nd=0.13501723963321197, time=2020-02-01T00:00:00}, {nd=0.1890560219216914, time=2020-03-01T00:00:00}]"
Batasan Hills,"[{nd=0.1970474701626683, time=2020-01-01T00:00:00}, {nd=0.16294669340193454, time=2020-02-01T00:00:00}, {nd=0.1303336133687926, time=2020-03-01T00:00:00}]"
Bayanihan,"[{nd=0.15641554550819076, time=2020-01-01T00:00:00}, {nd=0.16491342186705107, time=2020-02-01T00:00:00}, {nd=0.20713439889693452, time=2020-03-01T00:00:00}]"
Blue Ridge A,"[{nd=0.20074392680270256, time=2020-01-01T00:00:00}, {nd=0.16364358379517313, time=2020-02-01T00:00:00}, {nd=0.12529200284156705, time=2020-03-01T00:00:00}]"
Blue Ridge B,"[{nd=0.26856694727963265, time=2020-01-01T00:00:00}, {nd=0.19582557864558806, time=2020-02-01T00:00:00}, {nd=0.16989302613321602, time=2020-03-01T00:00:00}]"
Botocan,"[{nd=0.18992439092895946, time=2020-01-01T00:00:00}, {nd=0.16768996751876225, time=2020-02-01T00:00:00}, {nd=0.17406518312804647, time=2020-03-01T00:00:00}]"
Bungad,"[{nd=0.1825691357005127, time=2020-01-01T00:00:00}, {nd=0.15213950384023806, time=2020-02-01T00:00:00}, {nd=0.15880595042049556, time=2020-03-01T00:00:00}]"
Camp Aguinaldo,"[{nd=0.259933774264008, time=2020-01-01T00:00:00}, {nd=0.2538669610499902, time=2020-02-01T00:00:00}, {nd=0.22226992834714435, time=2020-03-01T00:00:00}]"
Capri,"[{nd=0.21607059819339994, time=2020-01-01T00:00:00}, {nd=0.1867078093067584, time=2020-02-01T00:00:00}, {nd=0.11393806009236125, time=2020-03-01T00:00:00}]"
Central,"[{nd=0.17293117306678618, time=2020-01-01T00:00:00}, {nd=0.1818960128310963, time=2020-02-01T00:00:00}, {nd=0.16898304383764226, time=2020-03-01T00:00:00}]"
Claro,"[{nd=0.15664479820698624, time=2020-01-01T00:00:00}, {nd=0.15848043618703345, time=2020-02-01T00:00:00}, {nd=0.04937789791049159, time=2020-03-01T00:00:00}]"
